series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTC15M,4-6,200.0,0.02,30-70,8,0,no_only,stop,10.0,,,39,25.64,52.5,-22.7241,-134.0,-0.100461,10,2.6849,0,39
KXBTC15M,4-6,200.0,0.05,30-70,8,0,no_only,stop,10.0,,,39,25.64,52.5,-22.7241,-134.0,-0.100461,10,2.6696,0,39
KXBTC15M,4-6,300.0,0.02,30-70,8,0,no_only,stop,10.0,,,39,25.64,52.5,-22.7241,-134.0,-0.100461,10,2.6849,0,39
KXBTC15M,4-6,300.0,0.05,30-70,8,0,no_only,stop,10.0,,,39,25.64,52.5,-22.7241,-134.0,-0.100461,10,2.6696,0,39
KXBTC15M,2-4,100.0,0.05,30-70,4,0,yes_only,hold,,,,33,54.55,39.5556,-58.5333,-166.0,-0.101044,3,3.6856,33,0
KXBTC15M,2-4,100.0,0.08,30-70,4,0,yes_only,hold,,,,33,54.55,39.5556,-58.5333,-166.0,-0.101044,3,3.6856,33,0
KXBTC15M,2-4,200.0,0.05,30-70,4,0,yes_only,hold,,,,33,54.55,39.5556,-58.5333,-166.0,-0.101044,3,3.6856,33,0
KXBTC15M,2-4,200.0,0.08,30-70,4,0,yes_only,hold,,,,33,54.55,39.5556,-58.5333,-166.0,-0.101044,3,3.6856,33,0
KXBTC15M,2-4,300.0,0.05,30-70,4,0,yes_only,hold,,,,33,54.55,39.5556,-58.5333,-166.0,-0.101044,3,3.6856,33,0
KXBTC15M,2-4,300.0,0.08,30-70,4,0,yes_only,hold,,,,33,54.55,39.5556,-58.5333,-166.0,-0.101044,3,3.6856,33,0
KXBTC15M,4-6,100.0,0.02,30-70,4,0,no_only,stop,10.0,,,39,25.64,52.5,-22.8621,-138.0,-0.103085,10,2.6829,0,39
KXBTC15M,4-6,100.0,0.05,30-70,4,0,no_only,stop,10.0,,,39,25.64,52.5,-22.8621,-138.0,-0.103085,10,2.6675,0,39
KXBTC15M,4-6,200.0,0.02,30-70,4,0,no_only,stop,10.0,,,39,25.64,52.5,-22.8621,-138.0,-0.103085,10,2.6829,0,39
KXBTC15M,4-6,200.0,0.05,30-70,4,0,no_only,stop,10.0,,,39,25.64,52.5,-22.8621,-138.0,-0.103085,10,2.6675,0,39
KXBTC15M,4-6,300.0,0.02,30-70,4,0,no_only,stop,10.0,,,39,25.64,52.5,-22.8621,-138.0,-0.103085,10,2.6829,0,39
KXBTC15M,4-6,300.0,0.05,30-70,4,0,no_only,stop,10.0,,,39,25.64,52.5,-22.8621,-138.0,-0.103085,10,2.6675,0,39
KXBTC15M,2-4,100.0,0.08,30-70,8,0,yes_only,hold,,,,33,54.55,38.8333,-58.8,-183.0,-0.111906,3,3.6866,33,0
KXBTC15M,2-4,200.0,0.08,30-70,8,0,yes_only,hold,,,,33,54.55,38.8333,-58.8,-183.0,-0.111906,3,3.6866,33,0
KXBTC15M,2-4,300.0,0.08,30-70,8,0,yes_only,hold,,,,33,54.55,38.8333,-58.8,-183.0,-0.111906,3,3.6866,33,0
KXBTC15M,4-6,100.0,0.08,30-70,4,0,best_edge,hold,,,,61,54.1,40.0,-59.5,-346.0,-0.112164,5,5.575,32,29
KXBTC15M,4-6,200.0,0.08,30-70,4,0,best_edge,hold,,,,61,54.1,40.0,-59.5,-346.0,-0.112164,5,5.575,32,29
KXBTC15M,4-6,300.0,0.08,30-70,4,0,best_edge,hold,,,,61,54.1,40.0,-59.5,-346.0,-0.112164,5,5.575,32,29
