tte_bucket,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
1-2,6436,0.4732753262896209,0.5069939403356122,0.4962371037911747,1.075683654443754,,-0.0337186140459913,0.0337186140459913
12-14,15168,0.4808148734177215,0.4960381065400844,0.4837005537974684,1.2337552742616034,,-0.0152232331223629,0.0152232331223629
2-4,15048,0.4728867623604466,0.5080869218500798,0.4983714779372674,0.9715443912812333,,-0.035200159489633176,0.035200159489633176
4-6,15870,0.4746061751732829,0.5036312539382483,0.49275948330182734,1.087177063642092,,-0.02902507876496535,0.02902507876496535
6-8,15763,0.47529023663008313,0.5216363001966631,0.5102789443633826,1.1357355833280467,,-0.04634606356657994,0.04634606356657994
8-12,31820,0.4750157133878064,0.5122623192960403,0.500279384035198,1.1982935260842236,,-0.037246605908233865,0.037246605908233865
