hour_utc,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
0,89207,0.5003531113029247,0.5091869472126627,0.497756566188752,1.1430381023910683,,-0.008833835909737964,0.008833835909737964
1,87258,0.474764491507942,0.48411824703752093,0.47045611863668657,1.366212840083431,,-0.009353755529578955,0.009353755529578955
2,63073,0.5060168376325844,0.4749678943446483,0.4607838536299209,1.4184040714727384,,0.031048943287936115,-0.031048943287936115
3,50912,0.461659333752357,0.49662515713387806,0.4836820395977373,1.2943117536140796,,-0.034965823381521044,0.034965823381521044
4,20397,0.5197332941118792,0.4870309359219493,0.46859293033289207,1.8438005589057218,,0.03270235818992989,-0.03270235818992989
5,7143,0.4899902001959961,0.5015735685286294,0.4885986280274394,1.2974940501189982,,-0.011583368332633348,0.011583368332633348
6,11622,0.510755463775598,0.5311048012390295,0.5165006023059714,1.4604198933057997,,-0.020349337463431483,0.020349337463431483
7,10681,0.4900290234996723,0.5553543675685797,0.5419689167680928,1.3385450800486849,,-0.06532534406890739,0.06532534406890739
8,7338,0.48841646225129465,0.5334219133278822,0.5184505314799672,1.4971381847914966,,-0.0450054510765876,0.0450054510765876
9,13530,0.5832963784183296,0.5447760532150776,0.5267220990391722,1.8053954175905398,,0.03852032520325199,-0.03852032520325199
10,12861,0.5679185133348884,0.574529974341031,0.5566021304719695,1.792784386906151,,-0.006611461006142627,0.006611461006142627
11,11918,0.5285282765564692,0.5601887900654472,0.5433227051518711,1.6866084913576107,,-0.03166051350897803,0.03166051350897803
12,13069,0.40102532710995487,0.4958275307980718,0.47673196112939015,1.9095569668681613,,-0.09480220368811693,0.09480220368811693
13,29724,0.5287309917911452,0.47780446777015206,0.4631069169694523,1.4697550800699775,,0.05092652402099318,-0.05092652402099318
14,28459,0.5968235004743666,0.5908784567272216,0.5778263466741629,1.305211005305879,,0.005945043747144996,-0.005945043747144996
15,23509,0.6103619890254796,0.5735339657152579,0.561429665234591,1.2104300480666983,,0.036828023310221614,-0.036828023310221614
16,22269,0.5398087026808568,0.5518532489110423,0.5402362027931205,1.1617046117921779,,-0.012044546230185471,0.012044546230185471
17,57918,0.37572084671432027,0.48753064677647706,0.47318173970095656,1.4348907075520565,,-0.1118098000621568,0.1118098000621568
18,55874,0.4871138633353617,0.49756487811862404,0.484933063678992,1.2631814439632032,,-0.010451014783262325,0.010451014783262325
19,45988,0.466708706619118,0.500475341393407,0.48796012003131256,1.2515221362094462,,-0.033766634774288984,0.033766634774288984
20,43768,0.5100987022482179,0.5127677755437763,0.5015470206543593,1.1220754889416928,,-0.002669073295558433,0.002669073295558433
21,66932,0.5473764417617881,0.5090331978724676,0.4978425865057073,1.11906113667603,,0.03834324388932053,-0.03834324388932053
22,98038,0.5222974764887085,0.5051451477998327,0.49375721658948574,1.1387931210347013,,0.01715232868887584,-0.01715232868887584
23,94745,0.4833078262705156,0.5015186025647791,0.4882422291413795,1.3276373423399657,,-0.018210776294263487,0.018210776294263487
