series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTCD,30-45,350.0,0.02,40-60,8,0,best_edge,take_profit,,8.0,,37,70.27,11.4231,-54.9091,-307.0,-0.270194,6,15.223,24,13
KXBTCD,30-45,350.0,0.05,40-60,4,0,best_edge,take_profit,,8.0,,37,70.27,11.4231,-54.9091,-307.0,-0.270194,6,15.223,24,13
KXBTCD,30-45,350.0,0.05,40-60,8,0,best_edge,take_profit,,8.0,,37,70.27,11.4231,-54.9091,-307.0,-0.270194,6,15.223,24,13
KXBTCD,30-45,500.0,0.02,40-60,4,0,best_edge,take_profit,,8.0,,37,70.27,11.4231,-54.9091,-307.0,-0.270194,6,15.223,24,13
KXBTCD,30-45,500.0,0.02,40-60,8,0,best_edge,take_profit,,8.0,,37,70.27,11.4231,-54.9091,-307.0,-0.270194,6,15.223,24,13
KXBTCD,30-45,500.0,0.05,40-60,4,0,best_edge,take_profit,,8.0,,37,70.27,11.4231,-54.9091,-307.0,-0.270194,6,15.223,24,13
KXBTCD,30-45,500.0,0.05,40-60,8,0,best_edge,take_profit,,8.0,,37,70.27,11.4231,-54.9091,-307.0,-0.270194,6,15.223,24,13
KXBTCD,5-10,200.0,0.08,40-60,8,0,no_only,time_exit,,,5.0,63,34.92,18.0455,-19.4634,-401.0,-0.271609,8,3.1705,0,63
KXBTCD,5-10,350.0,0.08,40-60,8,0,no_only,time_exit,,,5.0,63,34.92,18.0455,-19.4634,-401.0,-0.271609,8,3.1705,0,63
KXBTCD,5-10,500.0,0.08,40-60,8,0,no_only,time_exit,,,5.0,63,34.92,18.0455,-19.4634,-401.0,-0.271609,8,3.1705,0,63
KXBTCD,30-45,200.0,0.05,30-70,4,0,yes_only,take_profit,,8.0,,42,71.43,10.8,-56.75,-357.0,-0.271957,6,19.0338,42,0
KXBTCD,30-45,350.0,0.05,30-70,4,0,yes_only,take_profit,,8.0,,42,71.43,10.8,-56.75,-357.0,-0.271957,6,19.0338,42,0
KXBTCD,30-45,500.0,0.05,30-70,4,0,yes_only,take_profit,,8.0,,42,71.43,10.8,-56.75,-357.0,-0.271957,6,19.0338,42,0
KXBTCD,30-45,200.0,0.08,30-70,4,0,yes_only,hold,,,,40,47.5,37.1053,-59.0476,-535.0,-0.274084,8,38.9086,40,0
KXBTCD,30-45,350.0,0.08,30-70,4,0,yes_only,hold,,,,40,47.5,37.1053,-59.0476,-535.0,-0.274084,8,38.9086,40,0
KXBTCD,30-45,500.0,0.08,30-70,4,0,yes_only,hold,,,,40,47.5,37.1053,-59.0476,-535.0,-0.274084,8,38.9086,40,0
KXBTCD,5-10,200.0,0.02,40-60,8,0,no_only,time_exit,,,5.0,64,34.38,18.2727,-19.3333,-410.0,-0.275285,9,3.2277,0,64
KXBTCD,5-10,350.0,0.02,40-60,8,0,no_only,time_exit,,,5.0,64,34.38,18.2727,-19.3333,-410.0,-0.275285,9,3.2277,0,64
KXBTCD,5-10,500.0,0.02,40-60,8,0,no_only,time_exit,,,5.0,64,34.38,18.2727,-19.3333,-410.0,-0.275285,9,3.2277,0,64
KXBTCD,30-45,200.0,0.02,30-70,4,0,yes_only,take_profit,,8.0,,42,71.43,10.6667,-56.75,-361.0,-0.275503,6,19.0459,42,0
KXBTCD,30-45,350.0,0.02,30-70,4,0,yes_only,take_profit,,8.0,,42,71.43,10.6667,-56.75,-361.0,-0.275503,6,19.0459,42,0
KXBTCD,30-45,500.0,0.02,30-70,4,0,yes_only,take_profit,,8.0,,42,71.43,10.6667,-56.75,-361.0,-0.275503,6,19.0459,42,0
KXBTCD,30-45,200.0,0.05,30-70,8,0,yes_only,take_profit,,8.0,,42,71.43,10.7667,-57.3333,-365.0,-0.275642,6,19.0721,42,0
KXBTCD,30-45,350.0,0.05,30-70,8,0,yes_only,take_profit,,8.0,,42,71.43,10.7667,-57.3333,-365.0,-0.275642,6,19.0721,42,0
KXBTCD,30-45,500.0,0.05,30-70,8,0,yes_only,take_profit,,8.0,,42,71.43,10.7667,-57.3333,-365.0,-0.275642,6,19.0721,42,0
KXBTCD,30-45,200.0,0.08,30-70,8,0,yes_only,hold,,,,40,47.5,37.0526,-59.381,-543.0,-0.277327,8,38.9506,40,0
KXBTCD,30-45,350.0,0.08,30-70,8,0,yes_only,hold,,,,40,47.5,37.0526,-59.381,-543.0,-0.277327,8,38.9506,40,0
KXBTCD,30-45,500.0,0.08,30-70,8,0,yes_only,hold,,,,40,47.5,37.0526,-59.381,-543.0,-0.277327,8,38.9506,40,0
