distance_bucket_bps,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
0-50,253583,0.5126605490115662,0.5219115240374946,0.5043317966898412,1.757972734765343,,-0.00925097502592842,0.00925097502592842
50-100,136397,0.4943437172371826,0.5058509351378696,0.49455721166887834,1.1293723468991257,,-0.011507217900686983,0.011507217900686983
100-200,179400,0.49468784838350055,0.5008251393534002,0.4880688405797102,1.2756298773690082,,-0.006137290969899678,0.006137290969899678
200-350,219827,0.49375645393877915,0.49975730915674593,0.48819730970262976,1.1559999454116197,,-0.006000855217966783,0.006000855217966783
350-500,177026,0.49612486301447245,0.501079615423723,0.49072797216228126,1.0351643261441827,,-0.004954752409250585,0.004954752409250585
