basis_threshold_bps,share_abs_gt_threshold,share_pos_gt_threshold,share_neg_lt_threshold,sample_count,mean_basis_bps,median_basis_bps
50,0.006267539756782039,0.003302151543498597,0.0029653882132834423,106900,0.46836202753042433,0.49964257496624925
100,0.0,0.0,0.0,106900,0.46836202753042433,0.49964257496624925
200,0.0,0.0,0.0,106900,0.46836202753042433,0.49964257496624925
