market_ticker,snapshot_count,avg_gap_seconds,min_gap_seconds,max_gap_seconds
KXBTCD-26APR0219-T66999.99,2894,0.7254906786501448,0.0,3.7930190563201904
KXBTCD-26APR0220-T66899.99,2754,0.7641466955343882,0.0,6.360013782978058
KXBTCD-26APR0219-T66899.99,2671,0.7860614092150952,0.0,5.061006546020508
KXBTCD-26APR0221-T66799.99,2501,0.8494310358055874,0.0,27.876010537147522
KXBTCD-26APR0221-T66699.99,2427,0.8753304575812831,0.0,26.000019907951355
KXBTCD-26APR0220-T66999.99,2385,0.8823731654095199,0.0,6.360013782978058
KXBTCD-26APR0219-T67099.99,2299,0.9132535989619484,0.0,4.617999494075775
KXBTCD-26APR0218-T66899.99,2279,0.9195774538624752,0.0,6.045028567314148
KXBTCD-26APR0221-T66899.99,2256,0.9416786438607155,0.0,26.000019907951355
KXBTCD-26APR0222-T66599.99,2231,0.9404392746840289,0.0,6.6049933433532715
KXBTCD-26APR0219-T66799.99,2227,0.9427795348062502,0.0,4.437996447086334
KXBTCD-26APR0220-T66799.99,2215,0.9500948079014471,0.0,6.360013782978058
KXBTCD-26APR0218-T66799.99,2157,0.9715887887587302,0.0,10.999980568885803
KXBTCD-26APR0222-T66699.99,2140,0.9804299167383497,0.0,7.817016541957855
KXBTCD-26APR0223-T66399.99,2091,1.0095241529014565,0.0,14.000004529953003
KXBTCD-26APR0222-T66399.99,2084,1.0067754423320865,0.0,9.999985992908478
KXBTCD-26APR0222-T66899.99,2067,1.0150556467441065,0.0,10.640014708042145
KXBTCD-26APR0222-T66799.99,2054,1.021480049571601,0.0,10.640014708042145
KXBTCD-26APR0222-T66499.99,2041,1.0279862919255602,0.0,9.221997857093811
KXBTCD-26APR0223-T66499.99,2016,1.0470808550183262,0.0,14.000004529953003
KXBTCD-26APR0223-T66299.99,1889,1.1174775032911306,0.0,14.000004529953003
KXBTCD-26APR0219-T67199.99,1852,1.1336771187977965,0.0,5.282007157802582
KXBTCD-26APR0218-T66699.99,1847,1.1346599985666384,0.0,9.999985992908478
KXBTCD-26MAR3114-T67499.99,1834,1.9601870202251193,0.0,97.83600121736526
KXBTCD-26APR0220-T66599.99,1805,1.1659058168984515,0.0,6.360013782978058
KXBTCD-26MAR3114-T67599.99,1798,1.999434368794699,0.0,97.83600121736526
KXBTCD-26APR0222-T66299.99,1798,1.1669188108009279,0.0,11.862015724182129
KXBTCD-26APR0221-T66999.99,1787,1.1888231788191237,0.0,27.00001448392868
KXBTCD-26APR0220-T67099.99,1779,1.182945474705849,0.0,6.360013782978058
KXBTCD-26MAR3115-T67699.99,1778,2.0380309390069664,0.0,151.17001086473465
KXBTCD-26APR0219-T66699.99,1766,1.188884498308901,0.0,5.185005068778992
KXBTCD-26MAR3115-T67799.99,1764,2.0542057877292437,0.0,151.17001086473465
KXBTCD-26MAR3114-T67699.99,1763,2.039128187800833,0.0,97.83600121736526
KXBTCD-26MAR3114-T67399.99,1759,2.043765204714536,0.0,97.83600121736526
KXBTCD-26APR0219-T67299.99,1757,1.1949744018289807,0.0,5.43099045753479
KXBTCD-26MAR3114-T67799.99,1740,2.0660821810878556,0.0,97.83600121736526
KXBTCD-26MAR3116-T67799.99,1734,1.3838933052488678,0.0,63.34497928619385
KXBTCD-26APR0300-T66399.99,1729,0.9013655231893924,0.0,8.21802020072937
KXBTCD-26APR0218-T67299.99,1729,1.2120977543970972,0.0,10.999980568885803
KXBTCD-26APR0218-T66999.99,1713,1.2234191578240403,0.0,23.37500900030136
KXBTCD-26APR0301-T66599.99,1701,1.2110875949027047,0.0,22.00000137090683
KXBTCD-26MAR3114-T67299.99,1696,2.1196833697481536,0.0,97.83600121736526
