hour_utc,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
0,8626,0.5328077904011129,0.5633168328309761,0.5520410387201484,1.127579411082773,,-0.030509042429863187,0.030509042429863187
1,6899,0.5709523119292651,0.35248746195100744,0.34196477750398613,1.0522684447021309,,0.21846484997825766,-0.21846484997825766
2,6429,0.3691087260849277,0.5195716285580961,0.5087319956447348,1.0839632913361332,,-0.15046290247316846,0.15046290247316846
3,5524,0.47556118754525706,0.5473280231716148,0.534866944243302,1.2461078928312816,,-0.07176683562635772,0.07176683562635772
4,5830,0.4783876500857633,0.5546759862778731,0.5424861063464836,1.2189879931389367,,-0.07628833619210978,0.07628833619210978
5,3972,0.8114300100704934,0.5805558912386707,0.5675133434038268,1.3042547834843907,,0.23087411883182274,-0.23087411883182274
9,2698,0.5048183839881394,0.3173862120088955,0.3049885100074129,1.2397702001482578,,0.1874321719792439,-0.1874321719792439
10,2672,0.5116017964071856,0.5823252245508982,0.5702874251497005,1.2037799401197604,,-0.07072342814371257,0.07072342814371257
11,2544,0.24724842767295596,0.4295444182389937,0.4195157232704403,1.002869496855346,,-0.18229599056603774,0.18229599056603774
12,2928,0.26707650273224043,0.30335109289617485,0.2914357923497268,1.1915300546448087,,-0.03627459016393442,0.03627459016393442
13,2816,0.4744318181818182,0.4718636363636364,0.46048792613636363,1.1375710227272726,,0.002568181818181803,-0.002568181818181803
14,2926,0.45933014354066987,0.5392416267942584,0.5281442241968557,1.1097402597402597,,-0.07991148325358849,0.07991148325358849
15,3216,0.2537313432835821,0.30750155472636814,0.29514800995024876,1.2353544776119403,,-0.05377021144278604,0.05377021144278604
16,3013,0.4955194158645868,0.5855705277132426,0.5748715565881182,1.069897112512446,,-0.09005111184865577,0.09005111184865577
17,2664,0.5259009009009009,0.30242454954954956,0.2944984984984985,0.7926051051051051,,0.22347635135135135,-0.22347635135135135
18,2910,0.7292096219931271,0.7427625429553264,0.7317082474226805,1.105429553264605,,-0.013552920962199289,0.013552920962199289
19,3155,0.5090332805071316,0.5044228209191759,0.49249191759112515,1.1930903328050713,,0.004610459587955695,-0.004610459587955695
20,4011,0.4121166791323859,0.48788282223884316,0.47735352779855394,1.0529294440289205,,-0.07576614310645724,0.07576614310645724
21,8399,0.617930706036433,0.6332156209072508,0.6234369567805691,0.9778664126681746,,-0.015284914870817845,0.015284914870817845
22,9500,0.4113684210526316,0.5806111578947368,0.5688351578947368,1.1776,,-0.16924273684210522,0.16924273684210522
23,9373,0.3241224794622853,0.4641817987837405,0.4519636189053665,1.221817987837405,,-0.1400593193214552,0.1400593193214552
