distance_bucket_bps,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
0-50,98085,0.48174542488657796,0.51530095325483,0.5038350410358363,1.146591221899373,,-0.0335555283682521,0.0335555283682521
50-100,1684,0.17992874109263657,0.21502553444180522,0.20941152019002376,0.5614014251781473,,-0.03509679334916865,0.03509679334916865
100-200,336,0.11607142857142858,0.12673214285714285,0.12275892857142857,0.39732142857142855,,-0.010660714285714273,0.010660714285714273
200-350,0,,,,,,,
350-500,0,,,,,,,
