trend_regime,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
down,24200,0.4821900826446281,0.498350826446281,0.48199917355371896,1.6351652892561988,,-0.016160743801652888,0.016160743801652888
flat,916654,0.4998221793610239,0.5068823569198411,0.49387777722019427,1.300457969964676,,-0.00706017755881716,0.00706017755881716
up,25379,0.5008471570983885,0.5146345403680208,0.5010749044485598,1.3559635919460975,,-0.013787383269632358,0.013787383269632358
