tte_bucket,distance_bucket_bps,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
1-2,0-50,6328,0.4774020227560051,0.5116592920353983,0.5007509481668774,1.090834386852086,,-0.03425726927939321,0.03425726927939321
1-2,50-100,108,0.23148148148148148,0.2336388888888889,0.23175925925925928,0.187962962962963,,-0.0021574074074074134,0.0021574074074074134
1-2,100-200,0,,,,,,,
1-2,200-350,0,,,,,,,
1-2,350-500,0,,,,,,,
12-14,0-50,15111,0.482628548739329,0.49737978955727613,0.4850473165243862,1.2332473032889946,,-0.014751240817947153,0.014751240817947153
12-14,50-100,57,0.0,0.14035087719298245,0.12666666666666665,1.3684210526315794,,-0.14035087719298245,0.14035087719298245
12-14,100-200,0,,,,,,,
12-14,200-350,0,,,,,,,
12-14,350-500,0,,,,,,,
2-4,0-50,14728,0.48071700162954917,0.5164936854970125,0.5066292096686583,0.9864475828354153,,-0.0357766838674633,0.0357766838674633
2-4,50-100,286,0.1258741258741259,0.13474825174825172,0.1318111888111888,0.29370629370629375,,-0.008874125874125838,0.008874125874125838
2-4,100-200,34,0.0,0.0069117647058823525,0.004735294117647059,0.2176470588235294,,-0.0069117647058823525,0.0069117647058823525
2-4,200-350,0,,,,,,,
2-4,350-500,0,,,,,,,
4-6,0-50,15346,0.4835787827446892,0.5130194187410401,0.501919783656979,1.1099635084060993,,-0.029440635996350883,0.029440635996350883
4-6,50-100,472,0.23516949152542374,0.2527563559322034,0.24848940677966103,0.42669491525423736,,-0.017586864406779673,0.017586864406779673
4-6,100-200,52,0.0,0.010211538461538463,0.006634615384615384,0.35769230769230764,,-0.010211538461538463,0.010211538461538463
4-6,200-350,0,,,,,,,
4-6,350-500,0,,,,,,,
6-8,0-50,15411,0.4795276101485952,0.5264158068911816,0.5149171371098565,1.1498669781325026,,-0.04688819674258643,0.04688819674258643
6-8,50-100,211,0.2985781990521327,0.3288293838862559,0.3224644549763033,0.6364928909952607,,-0.0302511848341232,0.0302511848341232
6-8,100-200,141,0.2765957446808511,0.2877730496453901,0.2843900709219858,0.3382978723404256,,-0.011177304964539003,0.011177304964539003
6-8,200-350,0,,,,,,,
6-8,350-500,0,,,,,,,
8-12,0-50,31161,0.4828792400757357,0.5197939411443793,0.5077139372934116,1.2080003850967556,,-0.036914701068643585,0.036914701068643585
8-12,50-100,550,0.12363636363636364,0.18481454545454545,0.17704363636363635,0.7770909090909092,,-0.06117818181818181,0.06117818181818181
8-12,100-200,109,0.0,0.011376146788990826,0.005889908256880734,0.5486238532110091,,-0.011376146788990826,0.011376146788990826
8-12,200-350,0,,,,,,,
8-12,350-500,0,,,,,,,
