vol_regime,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
high,33092,0.44621056448688506,0.46515009670010876,0.45410990571739396,1.1040190982714855,,-0.018939532213223698,0.018939532213223698
low,33255,0.4823034130205984,0.5420825740490152,0.5307208840775823,1.1361689971432867,,-0.05977916102841674,0.05977916102841674
mid,33753,0.4972595028590051,0.5191704144816758,0.5075515065327526,1.1618907948923058,,-0.02191091162267067,0.02191091162267067
unknown,5,1.0,0.9433999999999999,0.9283999999999999,1.5000000000000013,,0.056600000000000095,-0.056600000000000095
